ROWS_SITE_ID,Description,SURFACE_AREA,MET_MLAKE,MET_PAN,MLAKE_MET,PAN_MET,PAN_FACTOR,STORAGE,OUTLET,LAKE_GROUP,REPORT_NAME,REPORT_SEQ
R_082076,Met Dartmouth,,,,Y,Y,0.85,R_401224A,,,,
R_401224A,Dartmouth dam,Y,R_082076,R_082076,,,,,,,Dartmouth,1
R_072023,Met Hume,,,,Y,Y,0.85,R_401027,,,,
R_401027,Hume dam,Y,R_072023,R_072023,,,,,,,Hume,2
R_425020,Lake Wetherell,Y,,,,,,,,R_MENINDE,,
R_425021,Lake Pamamaroo,Y,,,,,,,,R_MENINDE,,
R_425022,Lake Menindee,Y,,,,,,,,R_MENINDE,,
R_425023,Lake Cawndilla,Y,,,,,,,,R_MENINDE,,
R_42510008,Lake Tandure,Y,,,,,,,,R_MENINDE,,
R_047019,Met Menindee morton,,,,Y,,,R_MENINDE,,,,
R_047058,Met Menindee pan,,,,,Y,0.7,R_MENINDE,,,,
R_MENINDE,Menindee Lakes,,R_047019,R_047058,,,,,,,Menindee Lakes,4
R_A4260553,Victoria Outlet,Y,,,,,,,,,,
R_047016,Met Victoria morton,,,,Y,,,R_A4261093,,,,
R_A4260904,Met Victoria pan,,,,,Y,0.66,R_A4261093,,,,
R_A4261093,Lake Victoria,,R_047016,R_A4260904,,,,,R_A4260553,,Lake Victoria,3
