ROWS_SITE_ID,Description,SURFACE_AREA,MET_MLAKE,MET_PAN,MLAKE_MET,PAN_MET,PAN_FACTOR,STORAGE,OUTLET,LAKE_GROUP,REPORT_NAME,REPORT_SEQ,STATE_ALLOCATION,SNOWY_TABLE,DUMMY
R_401224A,Dartmouth dam,Y,R_082076,R_082076,,,,,,,Dartmouth,1,,,
R_401027,Hume dam,Y,R_072023,R_072023,,,,,,,Hume,2,,,
R_A4261093,Lake Victoria,,R_047016,R_A4260904,,,,,R_A4260553,,Lake Victoria,3,,,
R_MENINDE,Menindee Lakes,,R_047019,R_047058,,,,,,,Menindee Lakes,4,,,
R_401000,,,,,,,,,,,Murray Valley,11,NSW;VIC;SA,,
R_410000,,,,,,,,,,,Murrumbidgee Vally,12,NSW,,
R_LOWERDAR,,,,,,,,,,,Lower Darling,13,NSW,,
R_405000,,,,,,,,,,,Goulburn Valley,14,VIC,,
R_EUCUMBE,,,,,,,,,,,Lake Eucumbene - Total,21,,storage,
R_SNOWMUR,,,,,,,,,,,Snowy-Murray Component,22,,storage,
R_SNOWYDV,,,,,,,,,,,Snowy-Murray,24,,diversion,
R_TOOMOUT,,,,,,,,,,,Tooma-Tumut,25,,diversion,
R_MUR1REL,,,,,,,,,,,Murray 1 Release,26,,diversion,
R_KHANCOB,,,,,,,,,,,Khancoban Releases,27,,diversion,
R_047016,Met Victoria morton,,,,Y,,,R_A4261093,,,,,,,
R_047019,Met Menindee morton,,,,Y,,,R_MENINDE,,,,,,,
R_047058,Met Menindee pan,,,,,Y,0.7,R_MENINDE,,,,,,,
R_072023,Met Hume,,,,Y,Y,0.85,R_401027,,,,,,,
R_082076,Met Dartmouth,,,,Y,Y,0.85,R_401224A,,,,,,,
R_425020,Lake Wetherell,Y,,,,,,,,R_MENINDE,,,,,
R_425021,Lake Pamamaroo,Y,,,,,,,,R_MENINDE,,,,,
R_425022,Lake Menindee,Y,,,,,,,,R_MENINDE,,,,,
R_425023,Lake Cawndilla,Y,,,,,,,,R_MENINDE,,,,,
R_42510008,Lake Tandure,Y,,,,,,,,R_MENINDE,,,,,
R_A4260553,Victoria Outlet,Y,,,,,,,,,,,,,
R_A4260904,Met Victoria pan,,,,,Y,0.66,R_A4261093,,,,,,,
R_ZROWS,,,,,,,,,,,Total,99,,,
Z_MDBATOTAL,,,,,,,,,,,Total MDBA Storage,100,,,--
R_DARDIVS,,,,,,,,,,,Lower Darling,35,,,
R_MILACCT,,,,,,,,,,,Murray Irrig. Ltd (net),31,,,
R_NSWDIVS,,,,,,,,,,,Licensed Pumps,34,,,
R_WAKSYST,,,,,,,,,,,Wakool Sys Allowance,32,,,
R_WMURIRN,,,,,,,,,,,Western Murray Irrigation,33,,,
Z_NSWTOTAL,,,,,,,,,,,TOTAL (NSW),98,,,
R_MURGMW,,,,,,,,,,,Licensed pumps - GMW (Nuay+u/s),39,,,
R_MURRVAL,,,,,,,,,,,Yarrawonga Main Channel (net),36,,,
R_MURSRW,,,,,,,,,,,Sunraysia Pumped Districts,38,,,
R_TORRNET,,,,,,,,,,,Torrumbay Ssystem + Nyah (net),37,,,
Z_VICTOTAL,,,,,,,,,,,TOTAL (VIC),98,,,
