ROWS_SITE_ID,HYOPSWB_CATCHMENT
R_404210D,BROKEN
R_404218A,BROKEN
R_404222A,BROKEN
R_406202C,CAMPASPE
R_406219A,CAMPASPE
R_425001,DARLING
R_425003,DARLING
R_425004,DARLING
R_425005,DARLING
R_425007,DARLING
R_425008,DARLING
R_425010,DARLING
R_425012,DARLING
R_425013,DARLING
R_425014,DARLING
R_425017B,DARLING
R_425018,DARLING
R_425020,DARLING
R_425021,DARLING
R_425022,DARLING
R_425023,DARLING
R_425024,DARLING
R_425025,DARLING
R_425034,DARLING
R_425039,DARLING
R_425040,DARLING
R_425042,DARLING
R_425043,DARLING
R_425044,DARLING
R_425048,DARLING
R_425054,DARLING
R_42510008,DARLING
R_42510037,DARLING
R_425900,DARLING
R_409013,EDWARD_WAKOOL
R_409022,EDWARD_WAKOOL
R_409023,EDWARD_WAKOOL
R_409101,EDWARD_WAKOOL
R_409008,EDWARD_WAKOOL
R_409030,EDWARD_WAKOOL
R_405200A,GOULBURN
R_405202B,GOULBURN
R_405203C,GOULBURN
R_405204C,GOULBURN
R_405232C,GOULBURN
R_405253A,GOULBURN
R_405258A,GOULBURN
R_405260A,GOULBURN
R_405269A,GOULBURN
R_402203A,KIEWA
R_402204A,KIEWA
R_402205A,KIEWA
R_402220A,KIEWA
R_402222A,KIEWA
R_407202C,LODDON
R_407205A,LODDON
R_407209A,LODDON
R_407224D,LODDON
R_407236A,LODDON
R_407241A,LODDON
R_407244A,LODDON
R_407251A,LODDON
R_407252A,LODDON
R_407330A,LODDON
R_407332A,LODDON
R_407336A,LODDON
R_407337A,LODDON
R_407338A,LODDON
R_407339A,LODDON
R_407340A,LODDON
R_407363A,LODDON
R_407365A,LODDON
R_407366A,LODDON
R_407367A,LODDON
R_407368A,LODDON
R_407369A,LODDON
R_407370A,LODDON
R_407371A,LODDON
R_407601A,LODDON
R_407779A,LODDON
R_426200A,LOWERMURRAY
R_A4260500,LOWERMURRAY
R_A4260501,LOWERMURRAY
R_A4260502,LOWERMURRAY
R_A4260505,LOWERMURRAY
R_A4260506,LOWERMURRAY
R_A4260507,LOWERMURRAY
R_A4260508,LOWERMURRAY
R_A4260509,LOWERMURRAY
R_A4260510,LOWERMURRAY
R_A4260511,LOWERMURRAY
R_A4260512,LOWERMURRAY
R_A4260513,LOWERMURRAY
R_A4260514,LOWERMURRAY
R_A4260515,LOWERMURRAY
R_A4260516,LOWERMURRAY
R_A4260517,LOWERMURRAY
R_A4260518,LOWERMURRAY
R_A4260519,LOWERMURRAY
R_A4260521,LOWERMURRAY
R_A4260524,LOWERMURRAY
R_A4260525,LOWERMURRAY
R_A4260526,LOWERMURRAY
R_A4260527,LOWERMURRAY
R_A4260528,LOWERMURRAY
R_A4260537,LOWERMURRAY
R_A4260539,LOWERMURRAY
R_A4260550,LOWERMURRAY
R_A4260553,LOWERMURRAY
R_A4260554,LOWERMURRAY
R_A4260570,LOWERMURRAY
R_A4260571,LOWERMURRAY
R_A4260574,LOWERMURRAY
R_A4260575,LOWERMURRAY
R_A4260576,LOWERMURRAY
R_A4260579,LOWERMURRAY
R_A4260580,LOWERMURRAY
R_A4260595,LOWERMURRAY
R_A4260600,LOWERMURRAY
R_A4260603,LOWERMURRAY
R_A4260628,LOWERMURRAY
R_A4260630,LOWERMURRAY
R_A4260635,LOWERMURRAY
R_A4260640,LOWERMURRAY
R_A4260641,LOWERMURRAY
R_A4260902,LOWERMURRAY
R_A4260903,LOWERMURRAY
R_A4260904,LOWERMURRAY
R_A4261022,LOWERMURRAY
R_A4261027,LOWERMURRAY
R_A4261034,LOWERMURRAY
R_A4261048,LOWERMURRAY
R_A4261091,LOWERMURRAY
R_A4261093,LOWERMURRAY
R_A4261107,LOWERMURRAY
R_A4261109,LOWERMURRAY
R_A4261110,LOWERMURRAY
R_A4261123,LOWERMURRAY
R_A4261124,LOWERMURRAY
R_A4261126,LOWERMURRAY
R_A4261128,LOWERMURRAY
R_A4261133,LOWERMURRAY
R_A4261153,LOWERMURRAY
R_A4261155,LOWERMURRAY
R_A4261159,LOWERMURRAY
R_A4261160,LOWERMURRAY
R_A4261162,LOWERMURRAY
R_A4261164,LOWERMURRAY
R_A4261166,LOWERMURRAY
R_A4261167,LOWERMURRAY
R_A4261168,LOWERMURRAY
R_A4261221,LOWERMURRAY
R_A4261224,LOWERMURRAY
R_414200A,MALLEE
R_414201B,MALLEE
R_414202,MALLEE
R_414203C,MALLEE
R_414206,MALLEE
R_414207A,MALLEE
R_414209,MALLEE
R_414210A,MALLEE
R_414211A,MALLEE
R_414216A,MALLEE
R_414230A,MALLEE
R_414231A,MALLEE
R_425010,MALLEE
R_WENTUS,MALLEE
R_409001,MURRAY_RIVERINA
R_409002,MURRAY_RIVERINA
R_409003,MURRAY_RIVERINA
R_409005,MURRAY_RIVERINA
R_409006,MURRAY_RIVERINA
R_409008,MURRAY_RIVERINA
R_409013,MURRAY_RIVERINA
R_409014,MURRAY_RIVERINA
R_409016,MURRAY_RIVERINA
R_409017,MURRAY_RIVERINA
R_409019,MURRAY_RIVERINA
R_409020,MURRAY_RIVERINA
R_409021,MURRAY_RIVERINA
R_409022,MURRAY_RIVERINA
R_409023,MURRAY_RIVERINA
R_409024,MURRAY_RIVERINA
R_409025,MURRAY_RIVERINA
R_409026,MURRAY_RIVERINA
R_409029,MURRAY_RIVERINA
R_409030,MURRAY_RIVERINA
R_409035,MURRAY_RIVERINA
R_409036,MURRAY_RIVERINA
R_409037,MURRAY_RIVERINA
R_409044,MURRAY_RIVERINA
R_409045,MURRAY_RIVERINA
R_409047,MURRAY_RIVERINA
R_409048,MURRAY_RIVERINA
R_409056,MURRAY_RIVERINA
R_409061,MURRAY_RIVERINA
R_409062,MURRAY_RIVERINA
R_409075,MURRAY_RIVERINA
R_409077,MURRAY_RIVERINA
R_409086,MURRAY_RIVERINA
R_409098,MURRAY_RIVERINA
R_409101,MURRAY_RIVERINA
R_409103,MURRAY_RIVERINA
R_409107,MURRAY_RIVERINA
R_409109,MURRAY_RIVERINA
R_409111,MURRAY_RIVERINA
R_409113,MURRAY_RIVERINA
R_409114,MURRAY_RIVERINA
R_409200A,MURRAY_RIVERINA
R_409202A,MURRAY_RIVERINA
R_409204C,MURRAY_RIVERINA
R_409206B,MURRAY_RIVERINA
R_409207B,MURRAY_RIVERINA
R_409214A,MURRAY_RIVERINA
R_409215B,MURRAY_RIVERINA
R_409216A,MURRAY_RIVERINA
R_409219,MURRAY_RIVERINA
R_409222A,MURRAY_RIVERINA
R_409700A,MURRAY_RIVERINA
R_409701D,MURRAY_RIVERINA
R_409701E,MURRAY_RIVERINA
R_409710A,MURRAY_RIVERINA
R_410001,MURRUMBIDGEE
R_410004,MURRUMBIDGEE
R_410005,MURRUMBIDGEE
R_410006,MURRUMBIDGEE
R_410008,MURRUMBIDGEE
R_410017,MURRUMBIDGEE
R_410021,MURRUMBIDGEE
R_410040,MURRUMBIDGEE
R_410041,MURRUMBIDGEE
R_410091,MURRUMBIDGEE
R_410102,MURRUMBIDGEE
R_41010810,MURRUMBIDGEE
R_41010941,MURRUMBIDGEE
R_41010966,MURRUMBIDGEE
R_410130,MURRUMBIDGEE
R_410131,MURRUMBIDGEE
R_410133,MURRUMBIDGEE
R_410134,MURRUMBIDGEE
R_410136,MURRUMBIDGEE
R_410148,MURRUMBIDGEE
R_410168,MURRUMBIDGEE
R_410169,MURRUMBIDGEE
R_410182,MURRUMBIDGEE
R_410183,MURRUMBIDGEE
R_403200C,OVENS
R_403205C,OVENS
R_403213A,OVENS
R_403220B,OVENS
R_403227A,OVENS
R_403228B,OVENS
R_403230A,OVENS
R_403233A,OVENS
R_403234A,OVENS
R_403235A,OVENS
R_403241A,OVENS
R_403242C,OVENS
R_403250A,OVENS
R_401007,UPPERMURRAY
R_401008,UPPERMURRAY
R_401009,UPPERMURRAY
R_401012,UPPERMURRAY
R_401013,UPPERMURRAY
R_401014,UPPERMURRAY
R_401015,UPPERMURRAY
R_401016,UPPERMURRAY
R_401017,UPPERMURRAY
R_401024,UPPERMURRAY
R_401026,UPPERMURRAY
R_401027,UPPERMURRAY
R_401201A,UPPERMURRAY
R_401203A,UPPERMURRAY
R_401204A,UPPERMURRAY
R_401208A,UPPERMURRAY
R_401210A,UPPERMURRAY
R_401211A,UPPERMURRAY
R_401215C,UPPERMURRAY
R_401216A,UPPERMURRAY
R_401217A,UPPERMURRAY
R_401220B,UPPERMURRAY
R_401224A,UPPERMURRAY
R_401226A,UPPERMURRAY
R_401229A,UPPERMURRAY
R_401230A,UPPERMURRAY
R_401231A,UPPERMURRAY
R_401549,UPPERMURRAY
