ROWS_SITE_ID,SOURCE_PARAMS,Q_SEQ,QORD_SEQ,H_SEQ,V_SEQ,P_SEQ,EVAP_SEQ,EC_SEQ,EW_SEQ
R_024007,P;EVAP;,,,,,100,100,,
R_024518,P;EVAP;,,,,,101,101,,
R_024519,P;EVAP;,,,,,102,102,,
R_024536,P;EVAP;,,,,,103,103,,
R_046043,P;EVAP;,,,,,104,104,,
R_047019,P;EVAP;,,,,,105,105,,
R_047058,,,,,,,,,
R_072023,P;EVAP;,,,,,107,107,,
R_074128,P;EVAP;,,,,,108,108,,
R_076031,P;EVAP;,,,,,109,109,,
R_077094,P;EVAP;,,,,,110,110,,
R_080023,P;EVAP;,,,,,111,111,,
R_081057,P;EVAP;,,,,,112,112,,
R_082076,P;EVAP;,,,,,113,113,,
R_401012,Q;P;,100,,,,114,,,
R_401013,Q;P;,101,,,,115,,,
R_401014,Q;P;,102,,,,116,,,
R_401015,P;,,,,,117,,,
R_401027,H;V;Q;,290,,100,100,,,,
R_401201A,Q;P;,103,,,,118,,,
R_401203A,Q;P;,104,,,,119,,,
R_401204A,Q;,105,,,,,,,
R_401208A,Q;P;,106,,,,120,,,
R_401210A,Q;P;,107,,,,121,,,
R_401211A,Q;,108,,,,,,,
R_401216A,Q;P;,109,,,,122,,,
R_401217A,Q;P;,110,,,,123,,,
R_401220B,Q;P;,111,,,,124,,,
R_401224A,H;V;Q.inflow;,,,101,101,,,,
R_401229A,Q;,112,,,,,,,
R_401230A,Q;,113,,,,,,,
R_401231A,Q;P;,114,,,,125,,,
R_401549,Q;,115,,,,,,,
R_402203A,Q;P;,120,,,,126,,,
R_402204A,Q;P;,121,,,,127,,,
R_402205A,Q;,122,,,,,,,
R_402220A,Q;,123,,,,,,,
R_402222A,Q;,124,,,,,,,
R_403205C,Q;,130,,,,,,,
R_403213A,Q;,131,,,,,,,
R_403220B,Q;,132,,,,,,,
R_403227A,Q;P;,133,,,,128,,,
R_403228B,Q;,134,,,,,,,
R_403230A,Q;P;,135,,,,129,,,
R_403233A,Q;,136,,,,,,,
R_403234A,H;V;P;,,,102,102,130,,,
R_403235A,H;V;P;,,,103,103,131,,,
R_403241A,Q;,137,,,,,,,
R_403242C,Q;,138,,,,,,,
R_404210D,Q;Q.ivt;Q.credit;Q.sa_del;Q.loss;,139,,,,,,,100
R_405204C,Q;,150,,,,,,,
R_405232C,Q;Q.ivt;Q.credit;Q.sa_del;Q.loss;,151,,,,,,,101
R_406202C,Q;Q.ivt;Q.credit;Q.sa_del;Q.loss;,152,,,,,,,102
R_407202C,Q;,153,,,,,,,
R_407209A,Q;Q.env_use;Q.ent_use;,154,,,,,,,103
R_407251A,Q;,155,,,,,,,
R_407252A,Q;,156,,,,,,,
R_407601A,H;V;,,,104,104,,,,
R_409002,Q;,160,,,,,,,
R_409003,Q;P;,161,,,,132,,,
R_409005,Q;,162,,,,,,,
R_409006,H;,,,105,,,,,
R_409008,Q;,163,,,,,,,
R_409013,Q;,164,,,,,,,
R_409014,Q;P;,165,,,,133,,,
R_409016,Q;,167,,,,,,,
R_409017,Q;,168,,,,,,,
R_409019,Q;,169,,,,,,,
R_409020,Q;,170,,,,,,,
R_409022,Q;QORD;,171,182,,,,,,
R_409023,Q;P;,172,,,,134,,,
R_409024,Q;,173,,,,,,,
R_409025,Q;,174,,,,,,,
R_409026,Q;QORD;,247,100,,,,,,
R_409029,Q;,175,,,,,,,
R_409030,Q;,176,,,,,,,
R_409035,Q;,177,,,,,,,
R_409036,Q;,178,,,,,,,
R_409037,Q;,179,,,,,,,
R_409044,Q;,180,,,,,,,
R_409045,Q;,181,,,,,,,
R_409047,Q;,182,,,,,,,
R_409048,Q;,183,,,,,,,
R_409056,Q;,184,,,,,,,
R_409061,Q;,185,,,,,,,
R_409062,Q;,186,,,,,,,
R_409075,Q;,187,,,,,,,
R_409086,Q;,188,,,,,,,
R_409098,Q;,189,,,,,,,
R_409101,H;,,,106,,,,,
R_409103,Q;,190,,,,,,,
R_409202A,Q;,191,,,,,,,
R_409204C,Q;,192,,,,,,,
R_409207B,Q;,193,,,,,,,
R_409214A,Q;,194,,,,,,,
R_409215B,Q;,195,,,,,,,
R_409216A,H;V;P;,,,107,105,135,,,
R_409219,H;V;P;,,,108,106,136,,,
R_409701E,Q;QORD;,248,101,,,,,,
R_409710A,Q;,196,,,,,,,
R_409722A,Q;QORD;,249,102,,,,,,
R_410130,Q;Q.credit;,197,,,,,,,
R_410134,Q;,198,,,,,,,
R_414200A,Q;,199,,,,,,,
R_414201B,Q;,200,,,,,,,
R_414203C,Q;,201,,,,,,,
R_414207A,Q;,202,,,,,,,
R_414209,H;V;P;,,,109,107,137,,,
R_414210A,H;V;P;,,,110,108,138,,,
R_414211B,Q;,203,,,,,,,
R_425007,Q;,204,,,,,,,
R_425008,Q;,205,,,,,,,
R_425010,Q;P;,206,,,,139,,,
R_425012,Q;,207,,,,,,,
R_425014,Q;,208,,,,,,,
R_425018,Q;,209,,,,,,,
R_425020,H;,,,111,,,,,
R_425021,H;V;,,,112,109,,,,
R_425022,H;V;,,,113,110,,,,
R_425023,H;V;,,,114,111,,,,
R_425024,Q;,210,,,,,,,
R_425025,Q;,211,,,,,,,
R_425034,Q;,212,,,,,,,
R_425042,Q;,213,,,,,,,
R_425043,Q;,214,,,,,,,
R_425044,Q;,215,,,,,,,
R_42510008,V;,,,,112,,,,
R_42510037,V;,,,,113,,,,
R_426200A,Q;,216,,,,,,,
R_6ON7CHN,Q;,217,,,,,,,
R_A4260500,Q;,218,,,,,,,
R_A4260501,H;EC;,,,115,,,,100,
R_A4260502,Q;,219,,,,,,,
R_A4260505,Q;,220,,,,,,,
R_A4260506,H;,,,116,,,,,
R_A4260507,Q;,221,,,,,,,
R_A4260508,H;,,,117,,,,,
R_A4260509,Q;,222,,,,,,,
R_A4260510,H;,,,118,,,,,
R_A4260511,Q;,223,,,,,,,
R_A4260512,H;,,,119,,,,,
R_A4260513,Q;P;,224,,,,140,,,
R_A4260514,H;,,,120,,,,,
R_A4260515,Q;,225,,,,,,,
R_A4260516,H;,,,121,,,,,
R_A4260517,Q;,226,,,,,,,
R_A4260518,H;,,,122,,,,,
R_A4260519,Q;,227,,,,,,,
R_A4260525,Q;,228,,,,,,,
R_A4260526,Q;P;,229,,,,141,,,
R_A4260527,Q;,230,,,,,,,
R_A4260553,Q;EC;,231,,,,,,101,
R_A4260570,Q;,232,,,,,,,
R_A4260571,Q;,233,,,,,,,
R_A4260630,H;,,,123,,,,,
R_A4260640,H;,,,124,,,,,
R_A4260902,H;,,,125,,,,,
R_A4260903,Q;P;,234,,,,142,,,
R_047016,P;EVAP;,,,,,143,114,,
R_A4261034,P;,,,,,144,,,
R_A4261093,H;V;,,,126,114,,,,
R_AVOCA,Q;,235,,,,,,,
R_BARRCK,Q;,236,,,,,,,
R_BARRFSH,Q;,237,,,,,,,
R_BARRPUM,Q;QORD;,250,150,,,,,,
R_BOGAIN,Q;,238,,,,,,,
R_BOGAOUT,Q;,239,,,,,,,
R_BURPUMP,Q;QORD;,251,151,,,,,,
R_CAW2DAR,Q;,240,,,,,,,
R_CHANNL9,Q;QORD;,252,152,,,,,,
R_COOMPUM,Q;QORD;,253,153,,,,,,
R_CURLPUM,Q;QORD;,254,154,,,,,,
R_DARTREG,H;V;,,,127,115,,,,
R_EUCUMBE,V;,,,,116,,,,
R_FLOWTOSA,Q;QTRD;,241,,,,,,,
R_FMITPUM,Q;QORD;,255,155,,,,,,
R_GEEHSTO,V;,,,,117,,,,
R_JINDABY,V;,,,,118,,,,
R_KHANCOB,Q;,242,,,,,,,
R_KHANSTO,V;,,,,119,,,,
R_KOWSWMP,V;,,,,120,,,,
R_MENINDE,V;,,,,121,,,,
R_MERBPUM,Q;QORD;,256,170,,,,,,
R_MILLPUM,Q;QORD;,257,171,,,,,,
R_MOIRPUM,Q;QORD;,258,172,,,,,,
R_MUR1REL,Q;,243,,,,,,,
R_409100,Q;QORD;,259,173,,,,,,
R_PIPUMPS,Q;QORD;,260,174,,,,,,
R_PRESMAK,Q;,244,,,,,,,
R_REDCPUM,Q;QORD;,261,175,,,,,,
R_ROBVPUM,Q;QORD;,262,180,,,,,,
R_TANDIV,Q;,245,,,,,,,
R_TOOMSTO,V;,,,,123,,,,
R_WCORPUM,Q;QORD;,263,181,,,,,,
R_425055,H;V;,,,128,124,,,,
R_407224D,Q;Q.ivt;Q.credit;Q.sa_del;Q.loss;,,,,,,,,104
R_407779A,Q;Q.inflow;,,,,,,,,105
R_414230A,Q;Q.mur_bypass;Q.sa_del;,,,,,,,,106
R_414231A,Q;Q.return;Q.sa_del;,,,,,,,,107
R_CCPUMP,Q;,,,,,,,,108
R_GUNFORE,Q;Q.ent_use;Q.env_use;Q.sa_del;,,,,,,,,109
R_HATTAHS,Q;Q.ent_use;Q.env_use;,,,,,,,,110
R_WALPUMP,Q;,,,,,,,,111
R_BROKESC,Q;Q.mur_bypass;Q.sa_delivery;,,,,,,,,112
R_NYAHPUM,QORD;,,183,,,,,,
