ROWS_SITE_ID,reservoir_name,downstream_location,use_surcharge_max,priority_surcharge_max,use_fullsupply_max,priority_fullsupply_max,use_downstreamflow_target_range,priority_downstreamflow_target_range,downstreamflow_target_min,downstreamflow_target_max,use_track_release_timeseries,priority_track_release_timeseries,use_minimize_Qout,priority_minimize_Qout,use_minimize_Qspill,priority_minimize_Qspill,use_smoothen_Qturbine,priority_smoothen_Qturbine,SITE_Q_PULSE_PEAKQ,SITE_Q_PULSE_PEAKT,SITE_Q_AREA
R_401027,ReservoirHume,DoctorsPoint,TRUE,4,FALSE,8,TRUE,11,13.889,289.352,TRUE,10,TRUE,50,TRUE,12,TRUE,100,,,
R_401204A,Tallandoon,,,,,,,,,,,,,,,,,,5000,7,100
R_401216A,Jokers Creek,,,,,,,,,,,,,,,,,,5000,7,100
R_401203A,Hinnomunjie,,,,,,,,,,,,,,,,,,5000,7,100
R_401220B,McCcallums,,,,,,,,,,,,,,,,,,5000,7,100
R_401217A,Gibbo Park,,,,,,,,,,,,,,,,,,5000,7,100
R_401210A,Granite Flat,,,,,,,,,,,,,,,,,,5000,7,100
R_401013,Jingellic Ck @ Jingellic,,,,,,,,,,,,,,,,,,5000,7,100
R_401208A,Berringama,,,,,,,,,,,,,,,,,,5000,7,100
R_401014,Pinegrove,,,,,,,,,,,,,,,,,,5000,7,100
R_401549,Bringenbrong,,,,,,,,,,,,,,,,,,5000,7,100
R_402222A,Kiewa Main,,,,,,,,,,,,,,,,,,5000,7,100
R_402203A,Mongans,,,,,,,,,,,,,,,,,,5000,7,100
R_403230A,Ovens @ Rocky Point,,,,,,,,,,,,,,,,,,5000,7,100
